[256, 281, 128]
[256, 281, 129]
[235, 222, 148]
[218, 211, 141]
[225, 216, 143]
[209, 205, 137]
[220, 213, 145]
[190, 189, 128]
[177, 177, 125]
[184, 183, 127]
[171, 172, 118]
[160, 162, 110]
[188, 188, 125]
[178, 179, 118]
[167, 170, 113]
[230, 221, 147]
[226, 219, 145]
[231, 223, 149]
[261, 241, 164]
[283, 245, 173]
[287, 238, 171]
[287, 239, 172]
[278, 245, 171]
[263, 241, 166]
[275, 247, 172]
[279, 247, 175]
[282, 247, 174]
[285, 242, 174]
[287, 239, 172]
[289, 243, 174]
[287, 242, 174]
[287, 237, 171]
[288, 238, 173]
[276, 233, 171]
[274, 237, 172]
[279, 237, 173]
[281, 227, 169]
[283, 234, 172]
[250, 182, 138]
[279, 224, 164]
[247, 183, 139]
[244, 179, 135]
[248, 184, 139]
[226, 165, 125]
[253, 192, 144]
[277, 239, 166]
[248, 231, 158]
[235, 222, 153]
[195, 193, 130]
[181, 181, 123]
[187, 185, 129]
[218, 206, 150]
[260, 228, 169]
[253, 226, 168]
[238, 219, 160]
[246, 224, 164]
[256, 227, 166]
[256, 227, 168]
[260, 224, 168]
[249, 222, 166]
[258, 227, 171]
[262, 226, 171]
[261, 226, 170]
[274, 230, 175]
[276, 224, 171]
[226, 212, 155]
[189, 188, 135]
[197, 193, 137]
[225, 214, 152]
[224, 215, 152]
[188, 186, 132]
[184, 183, 131]
[245, 226, 164]
[271, 205, 160]
[246, 176, 139]
[244, 177, 140]
[227, 162, 125]
[252, 182, 143]
[200, 142, 109]
[232, 164, 128]
[250, 182, 141]
[252, 185, 143]
[239, 172, 132]
[211, 149, 116]
[163, 117, 87]
[206, 147, 113]
[229, 163, 125]
[206, 146, 112]
[217, 153, 118]
[222, 157, 122]
[176, 124, 93]
[162, 115, 86]
[185, 131, 98]
[163, 116, 85]
[150, 108, 79]
[115, 85, 58]
[88, 66, 43]
[70, 54, 34]
[54, 42, 25]
[72, 57, 36]
[212, 149, 116]
[234, 166, 128]
[129, 94, 67]
[189, 133, 101]
[197, 138, 106]
[226, 160, 125]
[249, 179, 141]
[237, 170, 133]
[235, 169, 131]
[222, 157, 122]
[213, 151, 117]
[215, 153, 117]
[225, 160, 125]
[223, 160, 123]
[220, 157, 122]
[213, 151, 117]
[205, 145, 112]
[197, 138, 105]
[182, 129, 98]
[97, 73, 49]
[72, 56, 35]
[125, 92, 64]
[277, 213, 165]
[284, 229, 173]
[285, 232, 174]
[283, 227, 171]
[285, 231, 172]
[283, 239, 175]
[284, 236, 174]
[282, 235, 172]
[284, 235, 174]
[283, 229, 171]
[283, 226, 170]
[284, 225, 169]
[282, 225, 170]
[282, 225, 169]
[284, 228, 170]
[281, 224, 167]
